"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260505,2026-05-05,090741,CME ,00,090 ,  243793,   69498,   66476,    1514,   92273,   62483,    5791,   25741,   73499,    4236,   13535,     454,     247,  212835,  214700,   30958,   29093,   -8886,  -13946,    6284,    -342,    3924,   -9834,   -1022,     502,   -5568,      98,     324,     454,    -294,  -10756,  -10224,    1870,    1338,  100.0,   28.5,   27.3,    0.6,   37.8,   25.6,    2.4,   10.6,   30.1,    1.7,    5.6,    0.2,    0.1,   87.3,   88.1,   12.7,   11.9,    121,      4,     11,.,     18,     22,      7,     20,     31,     12,     14,.,.,     72,     70,    59.0,    27.6,    66.0,    42.3,    59.0,    27.6,    64.8,    42.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260428,2026-04-28,090741,CME ,00,090 ,  252679,   83444,   60192,    1856,   88349,   72317,    6813,   25239,   79067,    4138,   13211,       0,     541,  223591,  224924,   29088,   27755,   -2449,  -17463,   14602,     999,    7670,  -10149,    -133,    7364,   -3023,   -1751,     831,   -1308,     -79,   -2562,    -842,     113,   -1607,  100.0,   33.0,   23.8,    0.7,   35.0,   28.6,    2.7,   10.0,   31.3,    1.6,    5.2,    0.0,    0.2,   88.5,   89.0,   11.5,   11.0,    125,      4,     12,.,     20,     20,     10,     20,     35,      9,     14,      0,.,     74,     73,    60.5,    25.0,    67.3,    39.7,    60.5,    25.0,    66.1,    39.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260421,2026-04-21,090741,CME ,00,090 ,  255128,  100907,   45590,     857,   80679,   82466,    6946,   17875,   82090,    5889,   12380,    1308,     620,  226153,  225766,   28975,   29362,   -4130,   -7241,   12879,    -423,   12603,  -12120,    1026,   -4748,   -1937,   -2162,   -1569,     -59,     180,   -2334,   -2616,   -1796,   -1514,  100.0,   39.6,   17.9,    0.3,   31.6,   32.3,    2.7,    7.0,   32.2,    2.3,    4.9,    0.5,    0.2,   88.6,   88.5,   11.4,   11.5,    120,      4,     11,.,     16,     23,     10,     18,     34,      9,     13,.,.,     67,     75,    62.2,    24.0,    68.6,    38.9,    62.0,    23.8,    67.5,    38.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260414,2026-04-14,090741,CME ,00,090 ,  259258,  108148,   32711,    1280,   68076,   94586,    5920,   22623,   84027,    8051,   13949,    1367,     440,  228487,  228382,   30771,   30876,   18523,   25277,     421,    1244,    2317,   12930,    -130,   -9338,    7922,    -341,    -412,   -1144,     190,   18807,   21092,    -284,   -2569,  100.0,   41.7,   12.6,    0.5,   26.3,   36.5,    2.3,    8.7,   32.4,    3.1,    5.4,    0.5,    0.2,   88.1,   88.1,   11.9,   11.9,    124,      6,     11,.,     16,     26,      9,     19,     29,      9,     16,.,.,     69,     77,    58.5,    26.0,    65.2,    40.9,    58.4,    25.9,    63.8,    40.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260407,2026-04-07,090741,CME ,00,090 ,  240735,   82871,   32290,      36,   65759,   81656,    6050,   31961,   76105,    8392,   14361,    2511,     250,  209680,  207290,   31055,   33445,   23650,   18768,   -3867,      11,    1010,   21255,    -131,    3636,    4870,    1225,    -334,    -266,      35,   24220,   23132,    -570,     518,  100.0,   34.4,   13.4,    0.0,   27.3,   33.9,    2.5,   13.3,   31.6,    3.5,    6.0,    1.0,    0.1,   87.1,   86.1,   12.9,   13.9,    127,      5,     11,.,     14,     26,      9,     27,     28,      9,     14,.,.,     68,     80,    51.6,    25.9,    59.6,    41.2,    51.4,    25.8,    58.3,    41.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260331,2026-03-31,090741,CME ,00,090 ,  217085,   64103,   36157,      25,   64749,   60401,    6181,   28325,   71235,    7167,   14695,    2777,     215,  185460,  184158,   31625,   32927,   34287,   33984,   -1527,     -77,   -2898,   18883,     583,    1574,   12784,    -284,    1772,      17,    -399,   34255,   29980,      32,    4307,  100.0,   29.5,   16.7,    0.0,   29.8,   27.8,    2.8,   13.0,   32.8,    3.3,    6.8,    1.3,    0.1,   85.4,   84.8,   14.6,   15.2,    121,      4,     11,.,     13,     26,     11,     20,     30,      8,     15,.,.,     67,     75,    49.4,    25.9,    57.3,    39.2,    49.2,    25.9,    56.2,    39.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260324,2026-03-24,090741,CME ,00,090 ,  182798,   30119,   37684,     102,   67647,   41518,    5598,   26751,   58451,    7451,   12923,    2760,     614,  151205,  154178,   31593,   28620,  -64955,  -14638,  -16892,  -45261,   -7447,   -3508,     403,     458,   -5694,     618,    -838,    1282,      68,  -66637,  -68984,    1682,    4029,  100.0,   16.5,   20.6,    0.1,   37.0,   22.7,    3.1,   14.6,   32.0,    4.1,    7.1,    1.5,    0.3,   82.7,   84.3,   17.3,   15.7,    114,.,     11,.,     17,     18,      9,     26,     24,     13,     13,.,.,     71,     67,    41.6,    30.5,    50.1,    44.3,    40.9,    30.5,    47.8,    44.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260317,2026-03-17,090741,CME ,00,090 ,  247753,   44757,   54576,   45363,   75094,   45026,    5195,   26293,   64145,    6833,   13761,    1478,     546,  217842,  223162,   29911,   24591,  -40639,   10490,  -31992,   -4965,  -30011,    9433,   -2477,   -1959,   -1266,   -5380,      57,    -479,    -810,  -35055,  -37936,   -5584,   -2703,  100.0,   18.1,   22.0,   18.3,   30.3,   18.2,    2.1,   10.6,   25.9,    2.8,    5.6,    0.6,    0.2,   87.9,   90.1,   12.1,    9.9,    121,      7,     10,      8,     22,     17,      9,     22,     27,     12,     14,.,.,     81,     70,    42.5,    37.3,    55.7,    51.5,    32.8,    27.4,    39.7,    40.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260310,2026-03-10,090741,CME ,00,090 ,  288392,   34267,   86568,   50328,  105105,   35593,    7672,   28252,   65411,   12213,   13704,    1957,    1356,  252897,  261098,   35495,   27294,   55959,   -4887,   11502,   43776,     615,   -7315,    2154,    3308,    -904,    4955,     -77,     871,     691,   50535,   55730,    5424,     229,  100.0,   11.9,   30.0,   17.5,   36.4,   12.3,    2.7,    9.8,   22.7,    4.2,    4.8,    0.7,    0.5,   87.7,   90.5,   12.3,    9.5,    119,      6,     10,      6,     20,     14,     10,     25,     27,     14,     14,.,.,     81,     69,    48.4,    39.6,    57.7,    53.8,    34.6,    31.7,    40.4,    42.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260303,2026-03-03,090741,CME ,00,090 ,  232433,   39154,   75066,    6552,  104490,   42908,    5518,   24944,   66315,    7258,   13781,    1086,     665,  202362,  205368,   30071,   27065,    9871,    4449,   -6975,    4988,    -210,    1334,    -128,      64,    7334,    2220,   -1848,    1086,     495,   10030,   10354,    -159,    -483,  100.0,   16.8,   32.3,    2.8,   45.0,   18.5,    2.4,   10.7,   28.5,    3.1,    5.9,    0.5,    0.3,   87.1,   88.4,   12.9,   11.6,    119,      7,     11,      4,     20,     17,      9,     20,     29,     13,     13,.,.,     75,     73,    46.9,    36.9,    55.9,    49.5,    44.3,    36.7,    52.7,    49.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260224,2026-02-24,090741,CME ,00,090 ,  222562,   34705,   82041,    1564,  104700,   41574,    5646,   24880,   58981,    5038,   15629,       0,     170,  192332,  195014,   30230,   27548,    4147,    3031,    2694,    1255,   -2908,    2530,     184,    2876,   -5057,     786,    -966,       0,     138,    4396,    2530,    -249,    1617,  100.0,   15.6,   36.9,    0.7,   47.0,   18.7,    2.5,   11.2,   26.5,    2.3,    7.0,    0.0,    0.1,   86.4,   87.6,   13.6,   12.4,    117,      7,      8,.,     23,     15,      9,     23,     27,     12,     14,      0,.,     80,     62,    44.9,    40.5,    52.7,    52.4,    44.3,    40.4,    51.4,    52.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260217,2026-02-17,090741,CME ,00,090 ,  218415,   31674,   79347,     309,  107608,   39044,    5462,   22004,   64038,    4252,   16595,       0,      32,  187936,  192484,   30479,   25931,    3378,   -6760,   11698,     293,    6396,   -5273,      70,    3055,   -5919,    1191,     179,       0,      32,    4456,    2092,   -1078,    1286,  100.0,   14.5,   36.3,    0.1,   49.3,   17.9,    2.5,   10.1,   29.3,    1.9,    7.6,    0.0,    0.0,   86.0,   88.1,   14.0,   11.9,    120,      5,      8,.,     26,     15,      9,     18,     34,     13,     14,      0,.,     81,     65,    45.4,    40.5,    53.5,    50.8,    45.3,    40.5,    52.5,    50.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260210,2026-02-10,090741,CME ,00,090 ,  215037,   38434,   67649,      16,  101212,   44317,    5392,   18949,   69957,    3061,   16416,       0,       0,  183480,  190392,   31557,   24645,   -1215,   -9219,    3717,     -40,    5344,   -2963,     469,     518,   -1329,    -270,    1656,       0,       0,   -1542,    -416,     327,    -799,  100.0,   17.9,   31.5,    0.0,   47.1,   20.6,    2.5,    8.8,   32.5,    1.4,    7.6,    0.0,    0.0,   85.3,   88.5,   14.7,   11.5,    120,      7,      9,.,     25,     14,      9,     18,     33,      9,     14,      0,      0,     78,     62,    46.5,    37.5,    54.5,    49.6,    46.5,    37.5,    53.8,    49.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260203,2026-02-03,090741,CME ,00,090 ,  216252,   47653,   63932,      56,   95868,   47280,    4923,   18431,   71286,    3331,   14760,       0,       0,  185022,  190808,   31230,   25444,  -10952,  -18435,    7679,     -11,   12136,  -10503,    -389,   -7499,   -6860,     580,     -13,    -653,       0,  -13631,  -10157,    2679,    -795,  100.0,   22.0,   29.6,    0.0,   44.3,   21.9,    2.3,    8.5,   33.0,    1.5,    6.8,    0.0,    0.0,   85.6,   88.2,   14.4,   11.8,    116,      8,      9,.,     23,     16,      8,     18,     30,     12,     12,      0,      0,     78,     61,    45.0,    35.8,    52.5,    50.6,    45.0,    35.8,    52.0,    50.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260127,2026-01-27,090741,CME ,00,090 ,  227204,   66088,   56253,      67,   83732,   57783,    5312,   25930,   78146,    2751,   14773,     653,       0,  198653,  200965,   28551,   26239,   13607,   -4406,   27725,    -293,    9913,  -11011,    -185,   10342,    5201,   -2773,     202,     653,       0,   12800,   19317,     807,   -5710,  100.0,   29.1,   24.8,    0.0,   36.9,   25.4,    2.3,   11.4,   34.4,    1.2,    6.5,    0.3,    0.0,   87.4,   88.5,   12.6,   11.5,    123,      8,      8,.,     22,     15,      9,     25,     31,     10,     12,.,      0,     78,     66,    48.2,    33.8,    56.1,    49.9,    48.2,    33.8,    55.9,    49.9,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",260120,2026-01-20,090741,CME ,00,090 ,  213597,   70494,   28528,     360,   73819,   68794,    5497,   15588,   72945,    5524,   14571,       0,       0,  185853,  181648,   27744,   31949,   -5666,    -711,   -4372,     227,    2368,    5387,   -1697,   -6812,   -5154,    -332,    1656,       0,       0,   -5301,   -5941,    -365,     275,  100.0,   33.0,   13.4,    0.2,   34.6,   32.2,    2.6,    7.3,   34.2,    2.6,    6.8,    0.0,    0.0,   87.0,   85.0,   13.0,   15.0,    116,      7,      8,.,     19,     19,      9,     18,     34,      6,     11,      0,      0,     65,     68,    49.6,    30.3,    59.8,    46.7,    49.6,    30.3,    58.7,    46.7,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
